"";"ID";"run";"cond";"pros";"sem";"sentenceType";"voice";"voiceGender";"sentenceNb";"stimuli";"scoreV";"scoreA";"scoreVnv";"scoreAnv"
"5692";"20";"5";"cp";"m";"p";"context";"h1";"h";"16";"CPh1_16.wav";NA;3;"3";"3"
"5693";"20";"5";"spseudo";"m";"pseudo";"statement";"f4";"f";"4";"Spseudomonf4_4.wav";3;3;"3";"3"
"5694";"20";"5";"sn";"m";"n";"statement";"f3";"f";"6";"SNmonf3_6.wav";2;2;"2";"2"
"5695";"20";"5";"sn";"p";"n";"statement";"f2";"f";"12";"SNposf2_12.wav";4;3;"4";"3"
"5696";"20";"5";"sn";"p";"n";"statement";"f3";"f";"8";"SNposf3_8.wav";4;3;"4";"3"
"5697";"20";"5";"cn";"m";"n";"context";"h3";"h";"5";"CNh3_5.wav";3;3;"3";"3"
"5698";"20";"5";"sp";"m";"p";"statement";"f3";"f";"5";"SPmonf3_5.wav";3;3;"3";"3"
"5699";"20";"5";"cp";"m";"p";"context";"f2";"f";"12";"CPf2_12.wav";3;3;"3";"3"
"5700";"20";"5";"cp";"m";"p";"context";"f2";"f";"11";"CPf2_11.wav";3;3;"3";"3"
"5701";"20";"5";"cn";"m";"n";"context";"h2";"h";"11";"CNh2_11.wav";2;4;"2";"4"
"5702";"20";"5";"sn";"p";"n";"statement";"h4";"h";"3";"SNposh4_3.wav";4;4;"4";"4"
"5703";"20";"5";"sp";"p";"p";"statement";"h1";"h";"15";"SPposh1_15.wav";NA;2;"NaN";"2"
"5704";"20";"5";"sn";"n";"n";"statement";"f1";"f";"14";"SNnegf1_14.wav";2;4;"2";"4"
"5705";"20";"5";"sp";"p";"p";"statement";"h2";"h";"12";"SPposh2_12.wav";4;NA;"4";"4"
"5706";"20";"5";"sp";"n";"p";"statement";"f4";"f";"3";"SPnegf4_3.wav";NA;1;"2";"1"
"5707";"20";"5";"sp";"m";"p";"statement";"h4";"h";"3";"SPmonh4_3.wav";3;3;"3";"3"
"5708";"20";"5";"sp";"m";"p";"statement";"h2";"h";"10";"SPmonh2_10.wav";NA;3;"4";"3"
"5709";"20";"5";"cn";"m";"n";"context";"f2";"f";"10";"CNf2_10.wav";3;3;"3";"3"
"5710";"20";"5";"sp";"m";"p";"statement";"h2";"h";"11";"SPmonh2_11.wav";3;3;"3";"3"
"5711";"20";"5";"sp";"m";"p";"statement";"h1";"h";"14";"SPmonh1_14.wav";3;NA;"3";"2"
"5712";"20";"5";"sn";"n";"n";"statement";"f4";"f";"2";"SNnegf4_2.wav";NA;3;"3";"3"
"5713";"20";"6";"spseudo";"p";"pseudo";"statement";"f4";"f";"1";"Spseudoposf4_1.wav";4;4;"4";"4"
"5714";"20";"6";"sp";"n";"p";"statement";"f4";"f";"3";"SPnegf4_3.wav";3;2;"3";"2"
"5715";"20";"6";"sn";"p";"n";"statement";"f2";"f";"10";"SNposf2_10.wav";4;4;"4";"4"
"5716";"20";"6";"sn";"p";"n";"statement";"f1";"f";"15";"SNposf1_15.wav";NA;4;"4";"4"
"5717";"20";"6";"sn";"n";"n";"statement";"h3";"h";"7";"SNnegh3_7.wav";2;NA;"2";"3"
"5718";"20";"6";"sn";"n";"n";"statement";"f4";"f";"4";"SNnegf4_4.wav";2;NA;"2";"2"
"5719";"20";"6";"spseudo";"n";"pseudo";"statement";"f4";"f";"4";"Spseudonegf4_4.wav";1;2;"1";"2"
"5720";"20";"6";"sn";"p";"n";"statement";"f3";"f";"8";"SNposf3_8.wav";3;3;"3";"3"
"5721";"20";"6";"cp";"m";"p";"context";"h4";"h";"1";"CPh4_1.wav";3;3;"3";"3"
"5722";"20";"6";"sn";"n";"n";"statement";"f4";"f";"2";"SNnegf4_2.wav";3;4;"3";"4"
"5723";"20";"6";"sn";"m";"n";"statement";"f4";"f";"4";"SNmonf4_4.wav";3;2;"3";"2"
"5724";"20";"6";"sp";"m";"p";"statement";"f1";"f";"16";"SPmonf1_16.wav";3;3;"3";"3"
"5725";"20";"6";"cn";"m";"n";"context";"f3";"f";"6";"CNf3_6.wav";3;3;"3";"3"
"5726";"20";"6";"cn";"m";"n";"context";"f2";"f";"11";"CNf2_11.wav";3;3;"3";"3"
"5727";"20";"6";"sn";"n";"n";"statement";"h4";"h";"3";"SNnegh4_3.wav";3;4;"3";"4"
"5728";"20";"6";"sp";"n";"p";"statement";"f2";"f";"10";"SPnegf2_10.wav";3;NA;"3";"3"
"5729";"20";"6";"sn";"p";"n";"statement";"f3";"f";"7";"SNposf3_7.wav";4;2;"4";"2"
"5730";"20";"6";"sp";"m";"p";"statement";"f4";"f";"3";"SPmonf4_3.wav";3;3;"3";"3"
"5731";"20";"6";"cp";"m";"p";"context";"f4";"f";"4";"CPf4_4.wav";3;2;"3";"2"
"5732";"20";"6";"sp";"m";"p";"statement";"f1";"f";"15";"SPmonf1_15.wav";3;4;"3";"4"
"5733";"20";"6";"sn";"m";"n";"statement";"h3";"h";"6";"SNmonh3_6.wav";NA;3;"4";"3"
"5734";"20";"6";"sn";"m";"n";"statement";"h1";"h";"13";"SNmonh1_13.wav";3;2;"3";"2"
"5735";"20";"6";"sp";"p";"p";"statement";"h2";"h";"9";"SPposh2_9.wav";NA;NA;"3";"5"
